employee_id,skill_id,proficiency_level,years_experience,certified
EMP0001,SKILL06,Intermediate,12,False
EMP0001,SKILL01,Expert,9,True
EMP0001,SKILL09,Expert,3,True
EMP0002,SKILL02,Intermediate,13,True
EMP0002,SKILL04,Advanced,1,False
EMP0002,SKILL07,Intermediate,12,False
EMP0003,SKILL08,Advanced,12,False
EMP0003,SKILL06,Intermediate,5,True
EMP0003,SKILL01,Advanced,6,False
EMP0003,SKILL02,Intermediate,14,True
EMP0004,SKILL09,Advanced,14,True
EMP0004,SKILL01,Advanced,2,False
EMP0004,SKILL08,Beginner,5,True
EMP0004,SKILL07,Beginner,15,False
EMP0005,SKILL10,Advanced,14,False
EMP0005,SKILL02,Advanced,4,False
EMP0005,SKILL06,Beginner,7,False
EMP0006,SKILL10,Beginner,4,True
EMP0006,SKILL02,Beginner,10,False
EMP0006,SKILL07,Beginner,14,False
EMP0006,SKILL01,Intermediate,5,False
EMP0007,SKILL08,Beginner,9,False
EMP0007,SKILL02,Advanced,10,False
EMP0008,SKILL03,Beginner,7,True
EMP0008,SKILL08,Expert,2,True
EMP0008,SKILL01,Intermediate,3,True
EMP0009,SKILL07,Advanced,15,False
EMP0009,SKILL04,Expert,13,True
EMP0009,SKILL05,Intermediate,9,True
EMP0009,SKILL10,Expert,9,True
EMP0010,SKILL03,Advanced,1,True
EMP0010,SKILL08,Advanced,9,True
EMP0010,SKILL05,Advanced,10,True
EMP0011,SKILL07,Intermediate,3,True
EMP0011,SKILL05,Beginner,14,True
EMP0012,SKILL02,Advanced,13,False
EMP0012,SKILL06,Expert,11,True
EMP0012,SKILL05,Advanced,13,True
EMP0012,SKILL09,Advanced,11,False
EMP0013,SKILL05,Expert,13,False
EMP0013,SKILL09,Advanced,7,True
EMP0014,SKILL04,Intermediate,1,False
EMP0014,SKILL01,Advanced,9,True
EMP0015,SKILL05,Expert,4,False
EMP0015,SKILL02,Expert,2,True
EMP0015,SKILL04,Beginner,12,True
EMP0015,SKILL10,Expert,10,True
EMP0016,SKILL08,Expert,6,True
EMP0016,SKILL05,Beginner,8,False
EMP0017,SKILL05,Advanced,12,False
EMP0017,SKILL04,Advanced,6,True
EMP0017,SKILL03,Advanced,4,True
EMP0017,SKILL09,Beginner,8,True
EMP0018,SKILL02,Advanced,8,True
EMP0018,SKILL10,Expert,7,True
EMP0018,SKILL01,Intermediate,13,False
EMP0019,SKILL05,Intermediate,6,True
EMP0019,SKILL06,Intermediate,10,True
EMP0019,SKILL04,Beginner,2,False
EMP0020,SKILL05,Beginner,4,False
EMP0020,SKILL09,Advanced,8,True
EMP0021,SKILL10,Advanced,15,True
EMP0021,SKILL03,Expert,10,False
EMP0021,SKILL09,Intermediate,15,True
EMP0022,SKILL06,Intermediate,5,True
EMP0022,SKILL04,Beginner,12,True
EMP0022,SKILL03,Intermediate,10,False
EMP0022,SKILL02,Intermediate,12,True
EMP0023,SKILL02,Beginner,14,True
EMP0023,SKILL09,Beginner,3,True
EMP0023,SKILL08,Intermediate,11,False
EMP0024,SKILL03,Intermediate,9,False
EMP0024,SKILL02,Expert,15,True
EMP0024,SKILL10,Advanced,15,True
EMP0024,SKILL07,Intermediate,13,True
EMP0025,SKILL09,Advanced,8,False
EMP0025,SKILL01,Advanced,3,False
EMP0025,SKILL06,Beginner,3,True
EMP0025,SKILL04,Beginner,6,False
EMP0026,SKILL03,Beginner,10,False
EMP0026,SKILL05,Beginner,10,False
EMP0026,SKILL10,Advanced,15,False
EMP0026,SKILL06,Intermediate,11,False
EMP0027,SKILL04,Advanced,10,True
EMP0027,SKILL03,Advanced,7,True
EMP0027,SKILL05,Beginner,14,True
EMP0028,SKILL02,Beginner,14,False
EMP0028,SKILL07,Beginner,5,False
EMP0029,SKILL07,Beginner,4,False
EMP0029,SKILL02,Beginner,7,True
EMP0029,SKILL08,Intermediate,5,False
EMP0029,SKILL05,Advanced,12,True
EMP0030,SKILL09,Intermediate,10,False
EMP0030,SKILL10,Intermediate,3,False
EMP0030,SKILL07,Advanced,9,True
EMP0030,SKILL06,Beginner,14,True
EMP0031,SKILL10,Intermediate,2,False
EMP0031,SKILL06,Beginner,14,False
EMP0031,SKILL03,Intermediate,14,True
EMP0032,SKILL08,Beginner,10,False
EMP0032,SKILL01,Expert,15,False
EMP0032,SKILL07,Expert,15,False
EMP0033,SKILL04,Intermediate,3,False
EMP0033,SKILL06,Intermediate,10,True
EMP0033,SKILL05,Intermediate,3,True
EMP0034,SKILL10,Intermediate,4,True
EMP0034,SKILL05,Intermediate,15,False
EMP0034,SKILL02,Advanced,8,True
EMP0034,SKILL08,Expert,14,False
EMP0035,SKILL10,Intermediate,5,False
EMP0035,SKILL07,Expert,2,True
EMP0035,SKILL01,Expert,10,True
EMP0036,SKILL01,Advanced,9,False
EMP0036,SKILL06,Beginner,13,False
EMP0037,SKILL08,Advanced,15,True
EMP0037,SKILL09,Intermediate,10,True
EMP0037,SKILL05,Intermediate,13,False
EMP0037,SKILL07,Intermediate,14,True
EMP0038,SKILL01,Advanced,8,True
EMP0038,SKILL02,Advanced,7,True
EMP0038,SKILL09,Intermediate,10,True
EMP0038,SKILL07,Expert,3,True
EMP0039,SKILL03,Beginner,7,True
EMP0039,SKILL02,Intermediate,13,False
EMP0039,SKILL08,Advanced,1,True
EMP0039,SKILL10,Beginner,2,False
EMP0040,SKILL08,Advanced,15,True
EMP0040,SKILL01,Expert,7,True
EMP0040,SKILL06,Expert,8,True
EMP0041,SKILL06,Advanced,4,True
EMP0041,SKILL02,Beginner,1,False
EMP0042,SKILL02,Advanced,13,True
EMP0042,SKILL08,Intermediate,13,False
EMP0042,SKILL01,Expert,2,True
EMP0043,SKILL03,Advanced,5,True
EMP0043,SKILL08,Intermediate,1,False
EMP0044,SKILL06,Expert,5,False
EMP0044,SKILL10,Intermediate,5,False
EMP0044,SKILL01,Expert,6,False
EMP0045,SKILL01,Beginner,12,True
EMP0045,SKILL07,Advanced,2,True
EMP0045,SKILL05,Intermediate,2,True
EMP0046,SKILL03,Expert,4,True
EMP0046,SKILL05,Expert,11,False
EMP0046,SKILL07,Beginner,7,True
EMP0047,SKILL07,Expert,9,True
EMP0047,SKILL08,Beginner,3,False
EMP0047,SKILL04,Beginner,2,False
EMP0048,SKILL04,Beginner,8,True
EMP0048,SKILL02,Expert,13,False
EMP0049,SKILL05,Expert,15,True
EMP0049,SKILL10,Beginner,3,True
EMP0049,SKILL06,Expert,9,False
EMP0049,SKILL02,Beginner,7,True
EMP0050,SKILL07,Advanced,6,True
EMP0050,SKILL01,Advanced,14,True
EMP0051,SKILL01,Intermediate,4,True
EMP0051,SKILL08,Advanced,3,False
EMP0052,SKILL09,Beginner,1,True
EMP0052,SKILL10,Intermediate,8,True
EMP0052,SKILL08,Expert,7,False
EMP0052,SKILL07,Advanced,1,False
EMP0053,SKILL07,Intermediate,1,False
EMP0053,SKILL03,Beginner,1,True
EMP0054,SKILL03,Expert,4,False
EMP0054,SKILL05,Advanced,11,True
EMP0054,SKILL09,Beginner,7,True
EMP0054,SKILL04,Beginner,13,False
EMP0055,SKILL09,Beginner,14,True
EMP0055,SKILL04,Expert,5,False
EMP0055,SKILL01,Intermediate,2,False
EMP0056,SKILL08,Advanced,3,True
EMP0056,SKILL09,Expert,9,True
EMP0056,SKILL06,Intermediate,9,False
EMP0057,SKILL04,Intermediate,8,True
EMP0057,SKILL06,Expert,9,True
EMP0057,SKILL02,Expert,11,False
EMP0058,SKILL06,Advanced,9,False
EMP0058,SKILL10,Beginner,15,True
EMP0059,SKILL09,Advanced,11,False
EMP0059,SKILL02,Beginner,10,True
EMP0060,SKILL10,Beginner,11,True
EMP0060,SKILL07,Expert,3,False
